t, ax, ay, az, da
673, 20172, -890, 17187, 35217.0
674, 20172, -890, 17187, 36469.0
675, 22617, -827, 17206, 37732.5
676, 22617, -827, 17206, 38996.0
677, 24985, -682, 17298, 40298.5
678, 24985, -682, 17298, 41601.0
679, 26007, -654, 17323, 42138.5
680, 26572, -618, 17304, 42967.0
681, 27428, -581, 17311, 43708.0
682, 28614, -563, 17375, 44792.0
683, 29320, -508, 17406, 45822.0
684, 29714, -451, 17382, 46431.5
685, 30460, -373, 17410, 47071.0
686, 31140, -272, 17458, 47911.5
687, 31355, -188, 17432, 48462.5
688, 31840, -62, 17414, 48895.5
689, 32764, 120, 17478, 49777.0
690, 32764, 325, 17532, 50491.5
691, 32764, 546, 17521, 50726.0
692, 32764, 788, 17487, 50935.0
693, 32764, 1080, 17478, 51180.5
694, 32764, 1422, 17486, 51497.0
695, 32764, 1807, 17490, 51866.5
696, 32764, 2168, 17506, 52249.5
697, 32764, 2506, 17513, 52610.5
698, 32764, 2862, 17482, 52945.5
699, 32764, 3124, 17443, 53219.5
700, 32764, 3262, 17424, 53390.5
701, 32428, 3399, 17427, 53352.0
702, 31757, 3486, 17408, 52952.5
703, 30783, 3427, 17346, 52103.5
704, 29742, 3256, 17274, 50914.0
705, 28942, 3084, 17223, 49760.5
706, 28185, 2932, 17194, 48780.0
707, 26994, 2630, 17152, 47543.5
708, 25666, 2248, 17105, 45897.5
709, 24660, 1970, 17101, 44375.0
710, 23570, 1678, 17074, 43026.5
711, 22134, 1320, 16994, 41385.0
712, 20745, 1049, 16965, 39603.5
713, 20745, 1049, 16965, 38759.0
714, 18119, 539, 16986, 37201.5
715, 18119, 539, 16986, 35644.0
716, 15109, 216, 16890, 33929.5
717, 15109, 216, 16890, 32215.0
718, 12176, -44, 16779, 30563.0
719, 12176, -44, 16779, 28911.0
720, 9162, -304, 16664, 27216.5
721, 9162, -304, 16664, 25522.0
