ax,ay,az
7269,-802,16804
8833,-862,16853
10572,-880,16920
12101,-893,16968
13324,-893,16968
14625,-932,17014
14625,-932,17014
17702,-856,17119
17702,-856,17119
20172,-890,17187
20172,-890,17187
22617,-827,17206
22617,-827,17206
24985,-682,17298
24985,-682,17298
26007,-654,17323
26572,-618,17304
27428,-581,17311
28614,-563,17375
29320,-508,17406
29714,-451,17382
30460,-373,17410
31140,-272,17458
31355,-188,17432
31840,-62,17414
32764,120,17478
32764,325,17532
32764,546,17521
32764,788,17487
32764,1080,17478
32764,1422,17486
32764,1807,17490
32764,2168,17506
32764,2506,17513
32764,2862,17482
32764,3124,17443
32764,3262,17424
32428,3399,17427
31757,3486,17408
30783,3427,17346
29742,3256,17274
28942,3084,17223
28185,2932,17194
26994,2630,17152
25666,2248,17105
24660,1970,17101
23570,1678,17074
22134,1320,16994
20745,1049,16965
20745,1049,16965
18119,539,16986
18119,539,16986
15109,216,16890
15109,216,16890
12176,-44,16779
12176,-44,16779
9162,-304,16664
9162,-304,16664
6338,-476,16572
6338,-476,16572
4762,-511,16547
1610,-550,16425
1610,-550,16425
-1386,-596,16357
-1386,-596,16357
-4157,-582,16224
-4157,-582,16224
-7065,-596,16154
-7065,-596,16154
-9954,-572,16133
-9954,-572,16069
-11395,-635,15996
-12738,-584,15957
-13989,-538,15946
-15340,-603,15922
-16725,-629,15881
-18025,-650,15839
-19376,-702,15792
-20744,-744,15745
-21844,-796,15710
-22847,-828,15684
-24180,-900,15660
-25613,-1004,15629
-26577,-1032,15603
-27376,-1092,15578
-28551,-1200,15520
-29519,-1218,15488
-29934,-1229,15527
-30560,-1296,15538
-31538,-1347,15484
-32176,-1360,15457
-32531,-1353,15470
-32531,-1353,15470
-32764,-1364,15404
-32764,-1384,15420
-32764,-1399,15471
-32764,-1380,15498
-32764,-1392,15520
-32764,-1414,15549
-32764,-1398,15568
-32764,-1371,15586
-32764,-1338,15604
-32538,-1297,15606
-32538,-1297,15606
-31458,-1173,15689
-31458,-1173,15689
-29982,-1131,15747
-29982,-1131,15747
-28403,-897,15785
-28403,-897,15785
-26274,-715,15897
-26274,-715,15897
-23786,-530,15981
-23786,-530,15981
-22888,-431,16006
-22273,-364,15969
-21032,-266,15952
-18983,-125,16044
-17184,-52,16144
-16149,-50,16168
-15078,1,16163
-13438,0,16185
-11662,18,16228
-10056,158,16284
-8421,141,16359
-6721,-20,16441
-5092,-124,16508
-3519,-224,16558
-2037,-336,16592
-667,-455,16598
848,-555,16610
2593,-617,16674
4259,-680,16745
5759,-730,16789
7210,-794,16836
8678,-840,16890
10259,-823,16940
11823,-860,16978
13164,-940,16997
14476,-950,17024
16044,-931,17063
17591,-928,17110
18790,-937,17146
20014,-910,17173
21453,-843,17224
22634,-805,17276
22634,-805,17276
24627,-706,17294
24627,-706,17294
26478,-663,17292
26478,-663,17292
28416,-527,17328
28416,-527,17328
29710,-441,17426
29710,-441,17426
31147,-199,17449
31147,-199,17449
31498,-123,17461
31737,-47,17438
32437,75,17482
32764,386,17536
32764,386,17536
32764,929,17489
32764,929,17489
32764,1640,17449
32764,1640,17449
32764,2416,17492
32764,2416,17492
32764,2774,17476
32764,3107,17456
32764,3353,17466
32534,3513,17432
31709,3606,17370
31043,3582,17338
30176,3416,17293
29107,3284,17225
28230,3132,17190
27178,2765,17158
25909,2390,17119
24793,2118,17109
23619,1801,17090
22320,1455,17046
21062,1132,17020
19694,829,16996
18259,582,16948
16931,396,16912
15467,236,16878
13822,56,16820
12360,-108,16757
10963,-197,16690
9368,-286,16617
9368,-286,16617
6492,-473,16592
4959,-578,16563
3341,-616,16491
1893,-636,16440
438,-664,16420
-1132,-684,16394
-2630,-711,16343
-4040,-710,16294
-5453,-710,16282
-6892,-712,16260
-6892,-712,16260
-9724,-670,16093
-9724,-670,16093
-12631,-724,15964
-12631,-724,15964
-15146,-658,15928
-15146,-658,15928
-17970,-704,15815
-17970,-704,15815
-20598,-708,15761
-20598,-704,15741
-21758,-724,15727
-22761,-755,15716
-24001,-798,15694
-25428,-878,15633
-26444,-923,15576
-27144,-964,15560
-28172,-1094,15534
-29230,-1146,15509
-29958,-1107,15514
-30744,-1154,15499
-31535,-1201,15481
-32028,-1214,15498
-32359,-1262,15533
-32764,-1291,15550
-32764,-1341,15518
-32764,-1392,15492
-32764,-1355,15514
-32764,-1327,15521
-32764,-1328,15523
-32764,-1297,15544
-32764,-1274,15545
-32764,-1263,15536
-32764,-1254,15544
-32584,-1246,15550
-32409,-1220,15550
-31787,-1198,15598
-30782,-1160,15689
-29910,-1074,15759
-29266,-1015,15778
-28562,-977,15781
-27628,-876,15811
-26593,-787,15842
-26593,-787,15842
-23988,-586,15922
-23988,-586,15922
-22190,-451,15984
-22190,-451,15984
-19553,-212,15944
-19553,-212,15944
-16240,-47,16157
-16240,-47,16157
-13928,-166,16140
-13928,-166,16140
-12079,-83,16183
-10129,111,16298
-8528,149,16383
-5421,-163,16507
-5421,-163,16507
-2218,-289,16634
-2218,-289,16634
667,-533,16638
667,-533,16638
4018,-614,16766
4018,-614,16766
5561,-639,16838
6963,-719,16860
8387,-762,16875
10054,-771,16919
11706,-810,16968
13011,-870,16976
14234,-929,16959
15784,-909,16990
17436,-841,17074
18707,-855,17124
19824,-893,17109
21194,-844,17116
22514,-788,17196
23566,-779,17295
24660,-730,17346
25764,-696,17350
26522,-692,17348
27192,-607,17364
28235,-528,17400
29244,-477,17432
29728,-400,17403
30227,-334,17361
31040,-222,17398
31040,-222,17398
31672,-58,17425
32318,76,17471
32764,285,17555
32764,449,17552
32764,633,17473
32764,916,17435
32764,1269,17480
32764,1650,17528
32764,1650,17528
32764,2297,17526
32764,2297,17526
32764,3003,17457
32764,3003,17457
32603,3373,17432
32603,3373,17432
30881,3482,17347
30881,3482,17347
29243,3222,17276
29243,3222,17276
28408,3092,17254
27414,2832,17236
26154,2471,17193
24984,2158,17155
23859,1878,17142
22479,1570,17098
21080,1265,17023
19878,995,16967
18618,727,16920
17140,497,16864
15597,350,16830
14086,209,16827
12605,41,16810
11106,-98,16752
9550,-228,16666
8089,-335,16604
6700,-420,16580
5125,-470,16548
3506,-478,16484
2125,-534,16423
730,-588,16384
-872,-592,16347
-2388,-641,16312
-3808,-686,16281
-5312,-694,16245
-6768,-702,16218
-8147,-665,16176
-9571,-641,16098
-11053,-688,16030
-12449,-692,15989
-13684,-646,15960
-14961,-647,15929
-16340,-654,15888
-17642,-659,15850
-17642,-659,15850
-20407,-782,15768
-20407,-782,15768
-22486,-860,15679
-22486,-860,15679
-25292,-1065,15628
-25292,-1065,15628
-27014,-1147,15573
-27014,-1147,15573
-29282,-1263,15494
-29282,-1263,15494
-29814,-1232,15522
-30435,-1300,15519
-31444,-1388,15462
-32343,-1411,15515
-32343,-1411,15515
-32764,-1347,15500
-32764,-1347,15500
-32764,-1343,15523
-32764,-1343,15523
-32764,-1303,15498
-32764,-1303,15498
-32764,-1316,15538
-32764,-1300,15582
-32764,-1265,15580
-32764,-1274,15573
-32642,-1266,15588
-32375,-1236,15580
-31915,-1207,15586
-30998,-1124,15657
-30041,-1034,15725
-29393,-980,15746
-28738,-903,15762
-27760,-810,15800
-26726,-741,15825
-25690,-648,15833
-24283,-514,15901
-22890,-380,16006
-22171,-332,16000
-21468,-331,15897
-19833,-203,15897
-17806,-30,16034
-16365,-7,16149
-15338,-7,16149
-14042,-53,16150
-14042,-53,16150
-10484,25,16276
-8752,136,16366
-7176,-16,16422
-5620,-166,16473
-3953,-206,16555
-2318,-339,16624
-887,-500,16617
479,-571,16596
479,-571,16596
3777,-644,16764
3777,-644,16764
6644,-801,16780
6644,-801,16780
9844,-826,16879
9844,-826,16879
12907,-932,17086
12907,-932,17086
15442,-948,17036
15442,-948,17036
17100,-891,17075
18391,-845,17132
19534,-872,17140
20949,-875,17154
22258,-809,17208
23271,-771,17261
24433,-698,17308
25600,-629,17336
26272,-699,17329
26931,-676,17324
28116,-506,17362
29125,-452,17400
29526,-445,17378
30099,-343,17352
31019,-241,17387
31509,-150,17406
31693,-46,17371
32253,41,17381
32764,169,17472
32764,341,17534
32764,548,17534
32764,850,17535
32764,1195,17522
32764,1540,17479
32764,1903,17483
32764,2263,17519
32764,2616,17494
32764,2947,17456
32764,3196,17465
32660,3363,17456
31890,3482,17386
31141,3511,17292
30296,3424,17214
29316,3302,17168
29316,3302,17168
27652,2927,17161
27652,2927,17161
25068,2202,17070
25068,2202,17070
22794,1560,17025
22794,1560,17025
19988,928,16962
19988,928,16962
18645,668,16940
17272,460,16922
15832,357,16909
14299,236,16873
12760,52,16808
9715,-219,16674
9715,-219,16674
6900,-427,16634
6900,-427,16634
3717,-544,16486
3717,-544,16486
2298,-566,16428
848,-570,16374
-727,-607,16306
-2198,-646,16268
-3592,-675,16251
-5057,-705,16236
-6459,-692,16235
-7829,-657,16216
-9345,-648,16162
-10871,-651,16109
-12253,-634,16045
-13531,-608,15961
-14845,-605,15893
-16218,-622,15862
-17416,-643,15864
-18607,-670,15843
-20136,-722,15760
-21514,-738,15684
-22420,-725,15671
-23506,-804,15670
-25022,-923,15609
-26230,-971,15522
-26895,-1035,15490
-26895,-1035,15490
-29018,-1156,15428
-29018,-1156,15428
-30415,-1216,15434
-31159,-1255,15468
-31867,-1276,15490
-32218,-1274,15501
-32626,-1334,15521
-32764,-1379,15519
-32764,-1370,15522
-32764,-1402,15574
-32764,-1402,15574
-32764,-1424,15556
-32764,-1424,15556
-32764,-1367,15635
-32764,-1367,15635
-32764,-1364,15592
-32764,-1364,15592
-32491,-1302,15609
-32491,-1302,15609
-30977,-1207,15681
-30977,-1207,15681
-30173,-1128,15692
-29384,-1073,15721
-28733,-1016,15750
-28004,-922,15774
-26957,-808,15809
-25723,-715,15863
-24394,-617,15956
-23216,-476,16033
-22469,-388,16004
-21646,-377,15933
-20064,-292,15976
-18045,-136,16120
-16421,-90,16215
-15370,-130,16210
-14294,-128,16190
-12671,-124,16238
-10724,10,16317
-9000,170,16362
-7510,42,16386
-5893,-116,16444
-4104,-158,16531
-2466,-277,16575
-1103,-422,16564
301,-512,16561
1922,-560,16626
3570,-604,16729
5083,-680,16778
6522,-740,16785
8036,-743,16841
9674,-722,16941
11307,-775,17014
12681,-887,17033
12681,-887,17033
15188,-893,17050
15188,-893,17050
18352,-867,17167
18352,-867,17167
